fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221017 010635	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	73	TRUE	376291	0.299854447826512	0.20159008060861	5224	296	5001	16384000	39
20221017 011008	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	105	TRUE	376291	0.16737999489907	0.426360835501212	7998	17	5001	16328000	40
20221017 013121	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	633	TRUE	376291	0.0140147771638341	0.610145829145739	2009	458	5003	17808000	41
20221017 131450	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1396	TRUE	376291	0.00510296743482207	0.577893939296171	1300	1021	5005	17830000	42
20221017 134551	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1055	TRUE	376291	0.00943805498199482	0.596581906355522	2204	332	5000	17792000	43
20221017 140910	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	617	TRUE	376291	0.0116946087081831	0.405940585242934	1441	246	5000	17832000	44
20221017 142401	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	439	TRUE	376291	0.017967155526163	0.663660415187259	1504	270	5001	17752000	45
20221017 143407	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	385	TRUE	376291	0.0302304552065847	0.390835258080302	1443	17	5000	17576000	46
20221017 144144	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	288	TRUE	376291	0.0306827935382151	0.800498531600569	3944	1023	5001	17304000	47
20221017 144930	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	196	TRUE	376291	0.0383759643477792	0.401181461979304	1614	329	5002	17824000	48
20221017 145152	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	69	TRUE	376291	0.299816082228008	0.585568421903307	7946	906	5002	16480000	49
20221017 145322	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	36	TRUE	376291	0.243661085837878	0.9997912365373	7588	431	5003	16320000	50
20221017 154501	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1459	TRUE	376291	0.00554197886685898	0.440746329447186	1650	972	5001	17880000	51
20221017 162349	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1023	TRUE	376291	0.00759081933547346	0.47556917355359	1631	1020	5001	17840000	52
20221017 163931	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	395	TRUE	376291	0.0211782996382589	0.55470766806918	1561	973	5004	17832000	53
20221017 165331	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	327	TRUE	376291	0.0205452559316892	0.397511415590723	1320	998	5002	17792000	54
20221017 170816	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	371	TRUE	376291	0.0213709194066443	0.589592426440479	1532	378	5001	17888000	55
20221017 172454	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	422	TRUE	376291	0.0169071560289696	0.434932855738094	1565	353	5000	17864000	56
20221017 173622	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	461	TRUE	376291	0.0309939731832798	0.267915871862914	3975	910	5000	17536000	57
20221017 181700	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1245	TRUE	376291	0.00675023026167887	0.309081097936763	1628	237	5002	17848000	58
20221017 191152	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1509	TRUE	376291	0.00518773812298051	0.590102602340939	1572	384	5197	17626000	59
20221017 192155	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	177	TRUE	376291	0.0185219398856784	0.999147735791942	1325	270	5000	17840000	60
