fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221018 151037	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	357	TRUE	376291	0.0095721361592551	0.590137093648591	1052	1021	5000	10912000	49
20221018 152445	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	391	TRUE	376291	0.0189841832716417	0.514339783407268	4313	1024	5002	10664000	50
20221018 155917	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	480	TRUE	376291	0.00532359615405625	0.878068470897029	863	1023	5000	10776000	51
20221018 164149	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	915	TRUE	376291	0.00528793831174378	0.963382822762358	1156	325	5000	1.1e+07	52
20221018 164328	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	35	TRUE	376291	0.299852066528761	0.725190158261411	7994	548	5000	10416000	53
20221018 170230	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	420	TRUE	376291	0.00505799951797132	0.997588796872971	926	19	6366	9190000	54
20221018 171644	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	415	TRUE	376291	0.0201308199279182	0.504651190475438	4183	505	5001	10688000	55
20221018 174815	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	311	TRUE	376291	0.00570963904574804	0.482356548741867	858	958	5004	10928000	56
20221018 175734	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	334	TRUE	376291	0.0258685225624749	0.240323829710896	7988	1014	5003	10688000	57
20221018 175918	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	51	TRUE	376291	0.299696247850179	0.783829454730815	1738	16	5000	9920000	58
20221018 180207	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	79	TRUE	376291	0.117780868913263	0.207829912471125	7982	738	5001	10552000	59
20221018 184102	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	558	TRUE	376291	0.00516412039982814	0.481724544493032	1023	1011	5621	10248000	60
