fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221016 003031	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1032	TRUE	376291	0.00852789176196043	0.632997036047195	3034	44	5000	17424000	45
20221016 003859	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	333	TRUE	376291	0.0390775032669585	0.813960797869777	3860	730	5001	17432000	46
20221016 004616	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	196	TRUE	376291	0.0535326633838156	0.428473137556188	3677	591	5000	17400000	47
20221016 004832	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	35	TRUE	376291	0.299388147920088	0.585601447600812	3814	590	5000	16728000	48
20221016 005426	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	265	TRUE	376291	0.0508463267968557	0.696393304201162	7997	761	5002	16528000	49
20221016 005957	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	189	TRUE	376291	0.0571034306070372	0.894108752019852	3712	1023	5000	17232000	50
20221016 011446	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	175	TRUE	376291	0.0160940824539768	0.634603415699477	38	174	5000	17112000	51
20221016 012459	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	376	TRUE	376291	0.0331666114741337	0.203132541774777	3642	340	5000	17248000	52
20221016 012845	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	118	TRUE	376291	0.136036585896479	0.200252356782223	4257	980	5002	16776000	53
20221016 013104	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	49	TRUE	376291	0.160806152552772	0.746557671815587	3842	1023	5835	16442000	54
20221016 032036	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1070	TRUE	376291	0.00681617640726534	0.934038473639801	25	932	5001	16728000	55
20221016 032311	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	376291	0.299971616808895	0.220776076743818	6713	137	5002	16384000	56
20221016 034058	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	689	TRUE	376291	0.0158353211086765	0.713423880761659	3613	674	5001	17416000	57
20221016 034630	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	173	TRUE	376291	0.0637418313947348	0.629418162969054	3721	710	5000	17224000	58
20221016 034847	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	68	TRUE	376291	0.217079404160874	0.868587295314356	6290	544	5000	16392000	59
20221016 042640	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1538	TRUE	376291	0.0075650452185854	0.997424018486422	4043	868	5000	17840000	60
